c_bpl;d_bpl;dir_bpl;c_ugl;d_ugl
1;MINIBANCO 1 - UGL TUCUMAN (01);Dep:C?rdoba 987/Stgo. Del Estero 1020;01;TUCUMAN
2;MINIBANCO 2 - UGL CORRIENTES (02);25 de Mayo 1041;02;CORRIENTES
3;MINIBANCO 3 - UGL CORDOBA (03);General Paz 370;03;CORDOBA
4;MINIBANCO 4 - UGL MENDOZA (04);C?rdoba 243;04;MENDOZA
5;MINIBANCO 5 - UGL BAHIA BLANCA (05);Corrientes 301 esq. Las Heras;05;BAHIA BLANCA
90;BANCO DE PROTESIS CENTRAL;Oliden 1751- C.A.B.A;06;CAPITAL FEDERAL
7;MINIBANCO 7 - UGL LA PLATA (07);Calle 7 N?170;07;LA PLATA
8;MINIBANCO 8 - UGL SAN MARTIN (08);Mitre 4066;08;SAN MARTIN
9;MINIBANCO 9 - UGL ROSARIO (09);Dep:Rodriguez 933/ Sede:San Lorenzo 923;09;ROSARIO
10;MINIBANCO 10 - UGL LANUS (10);Alsina 1921/23 L de Zamora;10;LANUS
11;MINIBANCO 11 - UGL MAR DEL PLATA (11);Balcarce 3296;11;MAR DEL PLATA
12;MINIBANCO 12 - UGL SALTA (12);20 de Febrero 54;12;SALTA
13;MINIBANCO 13 - UGL CHACO (13);Av. 9 de Julio 155-Resistencia;13;CHACO
14;MINIBANCO 14 - UGL ENTRE RIOS (14);Venezuela 100 esq. Chile;14;ENTRE RIOS
15;MINIBANCO 15 - UGL SANTA FE (15);Hipolito Yrigoyen 2734;15;SANTA FE
16;MINIBANCO 16 - UGL NEUQUEN (16);Hipolito Irigoyen 45/55;16;PATAGONIA NORTE - NQN
17;MINIBANCO 17 - UGL CHUBUT (17);Saavedra 935-C.Rivadavia;17;CHUBUT
18;MINIBANCO 18 - UGL MISIONES (18);Salta 1744/46- Posadas;18;MISIONES
19;MINIBANCO 19 - UGL SANTIAGO DEL ESTERO (19);Pellegrini 335 - PRIMER PISO;19;SANTIAGO DEL ESTERO
20;MINIBANCO 20 - UGL LA PAMPA (20);Avda. Roca 106-Sta.Rosa;20;LA PAMPA
21;MINIBANCO 21 - UGL SAN JUAN (21);Avda.Cordoba 5-Este;21;SAN JUAN
22;MINIBANCO 22 - UGL JUJUY (22);Lavalle 376;22;JUJUY
23;MINIBANCO 23 - UGL FORMOSA (23);Moreno 1193;23;FORMOSA
24;MINIBANCO 24 - UGL CATAMARCA (24);San Martin 680;24;CATAMARCA
25;MINIBANCO 25 - UGL LA RIOJA (25);Facundo Quiroga 53;25;LA RIOJA
26;MINIBANCO 26 - UGL SAN LUIS (26);San Martin 1233;26;SAN LUIS
27;MINIBANCO 27 - UGL RIO NEGRO (27);Mitre 499-Gral.Roca;27;PATAGONIA NORTE - RN
28;MINIBANCO 28 - UGL SANTA CRUZ (28);Prto.Moreno 467-Rio Gallegos;28;SANTA CRUZ
29;MINIBANCO 29 - UGL MORON (29);Garc?a Silva 942 (sede);29;MORON
30;MINIBANCO 30 - UGL AZUL (30);San Martin 500;30;AZUL
31;MINIBANCO 31 - UGL JUNIN (31);Bartolom? Mitre 24;31;JUNIN
32;MINIBANCO 32 - UGL LUJAN (32);Alsina 1144;32;LUJAN
33;MINIBANCO 33 - UGL TIERRA DEL FUEGO (33);Onas 450 Ushuaia;33;TIERRA DEL FUEGO
34;MINIBANCO 34 - UGL CONCORDIA (34);Tucum?n 67;34;CONCORDIA
35;MINIBANCO 35 - UGL SAN JUSTO (35);SR.MARCON 3150(ex Pichincha);35;SAN JUSTO
36;MINIBANCO 36 - UGL RIO CUARTO (36);Alvear 842;36;RIO CUARTO
37;MINIBANCO 37 - UGL QUILMES (37);NULL;37;QUILMES
38;MINIBANCO 38 - UGL CHIVILCOY (38);Villarino 345;38;CHIVILCOY
